Ticker,Quantity,Price,Date,TransactionType
MCD,1,192.825920,2020-01-16,SOLD
SPOT,1,153.350006,2020-01-16,SOLD
AMZN,1,94.149498,2020-01-16,SOLD
DIS,1,145.089996,2020-01-16,SOLD
PTON,1,31.100000,2020-01-16,SOLD
AXP,1,124.223253,2020-01-16,SOLD
HMC,1,25.472451,2020-01-16,SOLD
A,10,0.000000,2020-01-16,BOUGHT
A,10,0.000000,2020-01-16,SOLD
AAPL,10,76.477965,2020-01-16,BOUGHT
AAPL,10,76.477965,2020-01-16,SOLD
AAPL,10,76.477965,2020-01-16,BOUGHT
AAPL,10,77.533981,2020-01-23,SOLD
AAPL,10,77.533981,2020-01-23,BOUGHT
AAPL,10,77.533981,2020-01-23,BOUGHT
AAPL,10,77.533981,2020-01-23,BOUGHT
AAPL,10,77.533981,2020-01-23,BOUGHT
AAPL,10,77.533981,2020-01-23,BOUGHT
AAPL,10,77.533981,2020-01-23,BOUGHT
AAPL,10,77.533981,2020-01-23,BOUGHT
AAPL,10,77.533981,2020-01-23,BOUGHT
PTON,1,31.559999,2020-01-28,BOUGHT
CROX,1,40.880001,2020-01-28,BOUGHT
AMZN,1,92.025002,2020-01-28,BOUGHT
AAPL,1,76.236532,2020-01-28,BOUGHT
NKE,1,97.384647,2020-01-29,BOUGHT
TGT,1,107.292914,2020-01-29,BOUGHT
GOOGL,1,72.922997,2020-01-29,BOUGHT
SPOT,1,144.940002,2020-01-29,BOUGHT
ZM,1,73.099998,2020-01-30,BOUGHT
AEO,1,13.601429,2020-01-30,BOUGHT
NVDA,1,60.172673,2020-01-30,BOUGHT
CRM,1,180.899994,2020-01-30,BOUGHT
PTON,1,31.250000,2020-01-30,SOLD
AAPL,81,78.172956,2020-01-30,SOLD
SPOT,1,143.000000,2020-01-31,BOUGHT
DIS,1,138.399994,2020-01-31,BOUGHT
DAL,1,56.192841,2020-01-31,BOUGHT
SBUX,1,79.544793,2020-01-31,BOUGHT
NKE,1,95.390117,2020-02-03,BOUGHT
CMG,1,868.000000,2020-02-03,BOUGHT
PINS,1,22.059999,2020-02-03,BOUGHT
SHOP,1,46.825001,2020-02-03,BOUGHT
AMZN,1,100.529999,2020-02-03,SOLD
AEO,1,13.219993,2020-02-03,SOLD
CROX,1,38.230000,2020-02-04,BOUGHT
ADDYY,1,155.887519,2020-02-04,BOUGHT
AAPL,1,76.897462,2020-02-04,BOUGHT
TGT,1,105.309775,2020-02-04,BOUGHT
AEO,1,13.610729,2020-02-05,BOUGHT
SBUX,1,82.793936,2020-02-05,BOUGHT
NVDA,1,62.757806,2020-02-05,BOUGHT
HMC,1,24.362943,2020-02-05,BOUGHT
NKE,2,98.049478,2020-02-05,SOLD
LOGI,1,43.491545,2020-02-06,BOUGHT
AMD,1,48.799999,2020-02-06,BOUGHT
MA,1,322.988537,2020-02-06,BOUGHT
MCD,1,197.056677,2020-02-06,BOUGHT
AAPL,1,78.667992,2020-02-06,SOLD
SPOT,2,146.619995,2020-02-06,SOLD
DIS,1,141.919998,2020-02-06,SOLD
SBUX,2,81.648173,2020-02-06,SOLD
CRM,1,186.830002,2020-02-06,SOLD
CMG,1,858.460022,2020-02-07,BOUGHT
ADBE,1,366.000000,2020-02-07,BOUGHT
CSCO,1,43.569410,2020-02-07,BOUGHT
JPM,1,122.834511,2020-02-07,BOUGHT
CROX,2,39.139999,2020-02-07,SOLD
TGT,2,106.588629,2020-02-07,SOLD
DAL,1,57.441567,2020-02-07,SOLD
AEO,1,13.582822,2020-02-07,SOLD
MA,1,321.693909,2020-02-07,SOLD
MCD,1,195.074393,2020-02-07,SOLD
MAR,1,140.443168,2020-02-10,BOUGHT
HLT,1,109.537485,2020-02-10,BOUGHT
FDX,1,149.904082,2020-02-10,BOUGHT
FL,1,35.636881,2020-02-10,BOUGHT
NVDA,2,62.884814,2020-02-10,SOLD
PINS,1,24.639999,2020-02-10,SOLD
ADBE,1,365.440002,2020-02-10,SOLD
FL,1,35.636881,2020-02-10,SOLD
CSCO,1,43.022565,2020-02-10,SOLD
MAR,1,140.443168,2020-02-10,SOLD
JPM,1,123.032153,2020-02-10,SOLD
CMG,2,861.309998,2020-02-10,SOLD
ZM,1,89.089996,2020-02-10,SOLD
GOOGL,1,73.861504,2020-02-10,SOLD
FDX,1,149.904082,2020-02-10,SOLD
ADDYY,1,152.022456,2020-02-10,SOLD
LOGI,1,43.060844,2020-02-10,SOLD
HMC,1,24.695796,2020-02-10,SOLD
SHOP,1,47.910999,2020-02-10,SOLD
AMD,1,49.470001,2020-02-10,SOLD
HLT,1,109.537485,2020-02-10,SOLD
