Ticker, Quantity, Price, Date, Transaction Type
ZM, 1, 106.25, 2020-03-12, BOUGHT
CROX, 1, 19.59, 2020-03-13, BOUGHT
ADDYY, 1, 98.7426, 2020-03-13, BOUGHT
AMZN, 1, 87.75, 2020-03-13, BOUGHT
AAPL, 1, 64.7544, 2020-03-13, BOUGHT
COST, 1, 267.499, 2020-03-16, BOUGHT
PMMAF, 1, 53.0483, 2020-03-16, BOUGHT
PTON, 1, 24.22, 2020-03-17, BOUGHT
CROX, 1, 16.93, 2020-03-17, BOUGHT
ADDYY, 1, 91.9981, 2020-03-17, BOUGHT
AMZN, 1, 88.7735, 2020-03-17, BOUGHT
TGT, 1, 92.2091, 2020-03-18, BOUGHT
ZM, 1, 111, 2020-03-18, BOUGHT
HMC, 1, 19.102, 2020-03-18, BOUGHT
CL, 1, 62.4064, 2020-03-18, BOUGHT
AAPL, 1, 60.4764, 2020-03-19, BOUGHT
NKE, 1, 64.7747, 2020-03-19, BOUGHT
GOOGL, 1, 54.411, 2020-03-19, BOUGHT
SPOT, 1, 119.83, 2020-03-19, BOUGHT
SPOT, 1, 119.83, 2020-03-19, SOLD
CROX, 1, 11.79, 2020-03-20, BOUGHT
ADDYY, 1, 98.9745, 2020-03-20, BOUGHT
DIS, 1, 95.99, 2020-03-20, BOUGHT
AEO, 1, 8.60555, 2020-03-20, BOUGHT
PTON, 2, 25, 2020-03-20, SOLD
TSLA, 1, 28.9067, 2020-03-23, BOUGHT
SBUX, 1, 53.3112, 2020-03-23, BOUGHT
NVDA, 1, 51.2625, 2020-03-23, BOUGHT
CRM, 1, 138.76, 2020-03-23, BOUGHT
ADDYY, 11, 93.4958, 2020-03-23, SOLD
AMZN, 3, 91.3875, 2020-03-23, SOLD
GOOGL, 3, 52.8185, 2020-03-23, SOLD
COST, 1, 277.161, 2020-03-23, SOLD
PTON, 1, 24.21, 2020-03-24, BOUGHT
AAPL, 1, 57.78, 2020-03-24, BOUGHT
GOOGL, 1, 55.199, 2020-03-24, BOUGHT
DIS, 1, 92.33, 2020-03-24, BOUGHT
DAL, 1, 31.424, 2020-03-25, BOUGHT
LUV, 1, 40.6366, 2020-03-25, BOUGHT
CMG, 1, 684.99, 2020-03-25, BOUGHT
PINS, 1, 14.6, 2020-03-25, BOUGHT
ZM, 2, 140.105, 2020-03-25, SOLD
HSY, 1, 117.776, 2020-03-26, BOUGHT
LOGI, 1, 39.3185, 2020-03-26, BOUGHT
SHOP, 1, 45.44, 2020-03-26, BOUGHT
AMD, 1, 45.78, 2020-03-26, BOUGHT
AAPL, 4, 60.2637, 2020-03-26, SOLD
LUV, 2, 40.0298, 2020-03-26, SOLD
SBUX, 2, 62.142, 2020-03-26, SOLD
CRM, 2, 148.3, 2020-03-26, SOLD
TGT, 1, 88.0619, 2020-03-27, BOUGHT
COST, 1, 272.53, 2020-03-27, BOUGHT
CL, 1, 58.9363, 2020-03-27, BOUGHT
AXP, 1, 83.7103, 2020-03-27, BOUGHT
CROX, 6, 18, 2020-03-27, SOLD
DIS, 3, 100.45, 2020-03-27, SOLD
DAL, 2, 30.6556, 2020-03-27, SOLD
TSLA, 2, 33.6667, 2020-03-27, SOLD
